Date,UPV,DNV,ADV,DEC,SPX,Lows,Highs,AAII,VIX
16/1/1990,112.77,52.606,811.0,723.0,340.75,0.9068,0.4024,-10.0,24.18
17/1/1990,49.628,103.03,649.0,867.0,337.4,1.712,0.7078,-10.0,24.16
18/1/1990,71.105,84.75200000000001,584.0,899.0,338.19,6.2189,0.6572,-38.0,24.34
19/1/1990,89.26899999999999,72.309,830.0,656.0,339.15,1.4141,0.7132,-38.0,22.5
22/1/1990,12.509,128.17,267.0,1336.0,330.38,6.4468,0.4566,-38.0,26.7
23/1/1990,80.05,79.803,666.0,864.0,331.61,2.9471,0.5005,-38.0,24.72
24/1/1990,56.442,133.9,384.0,1207.0,330.26,3.4324,0.4523,-38.0,25.39
25/1/1990,57.912,97.689,539.0,937.0,326.08,4.3260000000000005,0.4615,-52.0,25.63
26/1/1990,75.476,101.09,557.0,951.0,325.8,2.2245,0.4057,-52.0,26.28
29/1/1990,51.605,79.86399999999999,541.0,961.0,325.2,4.2467,0.4611,-52.0,26.44
30/1/1990,45.478,121.05,399.0,1156.0,322.98,2.7509,0.4532,-52.0,27.25
31/1/1990,153.49,24.787,1116.0,449.0,329.08,5.3272,0.4049,-52.0,25.36
1/2/1990,77.084,61.093999999999994,881.0,651.0,328.79,6.1562,0.8643,-70.0,24.87
2/2/1990,103.25,39.134,1004.0,495.0,330.92,9.7487,0.8114,-70.0,24.32
5/2/1990,71.382,39.15,838.0,646.0,331.85,3.8974,1.0132,-70.0,24.54
6/2/1990,40.44,73.207,578.0,909.0,329.66,7.8093,0.856,-70.0,24.69
7/2/1990,125.46,40.996,941.0,567.0,333.75,6.8648,1.5889,-70.0,24.29
8/2/1990,79.902,74.311,768.0,696.0,332.96,9.718,2.1331,-62.0,23.77
9/2/1990,71.921,51.201,826.0,667.0,333.62,4.4028,1.1162,-62.0,23.69
12/2/1990,25.462,79.446,479.0,1042.0,330.08,2.3834,0.5604,-62.0,24.38
13/2/1990,74.72399999999999,52.088,675.0,804.0,331.02,3.1171,0.813,-62.0,23.76
14/2/1990,76.62,41.066,749.0,681.0,332.01,1.8744,1.2314,-62.0,22.05
15/2/1990,104.61,44.805,908.0,583.0,334.89,3.0715,1.5816,-54.0,19.71
16/2/1990,58.333,87.88799999999999,760.0,737.0,332.72,3.4854,1.5488,-54.0,20.78
20/2/1990,23.068,113.14,327.0,1257.0,327.99,1.9588,0.6592,-54.0,22.78
21/2/1990,53.708,86.654,577.0,963.0,327.67,1.9807,0.5013,-54.0,23.89
22/2/1990,62.798,89.0,715.0,753.0,325.7,2.4859999999999998,1.0628,-52.0,22.54
